7/13/18 18:28,b'Sake I\xe2\x80\x99m still getting grief from #England fans \xf0\x9f\x98\x82. Is it coming home yet lads? #ItsComingHome',
7/13/18 18:27,"b'RT @superpidge: Just heard my neighbour singing the 3 Lions song whilst washing his car, it\xe2\x80\x99s that positivity we need right now, I\xe2\x80\x99ll be a\xe2\x80\xa6'",
7/13/18 18:27,"b""RT @NorthEastNT: Is it our 'tern' now? A rare tropical seabird has been spotted on the @NTFarneIslands Islands for the first time since 196\xe2\x80\xa6""",
7/13/18 18:27,b'RT @FOLLOWtrickss_9: If you have less than 1M followers \n\nRetweet!\nRetweet!!\nRetweet!!!\n\nGain-In-Bits\n\nFollow retweet list in bits 50 at a\xe2\x80\xa6',
7/13/18 18:26,b'RT @The_GFP: Beat Tunisia (26th in world)\nBeat Panama (49th in world)\nLost to Belgium (5th in world)\nDrew with Colombia (13th in world)\nBea\xe2\x80\xa6',
7/13/18 18:25,b'2018 WC a success or failure for England?What do you think?  #england #kane #WorldCup #London #ItsComingHome \nhttps://t.co/JgFjiyexEW',
7/13/18 18:24,b'RT @Chris_Stark: Calling it now... the 2022 Christmas number 1 will be three lions \xf0\x9f\xa6\x81 \xf0\x9f\xa6\x81\xf0\x9f\xa6\x81\n#itscominghome',
7/13/18 18:24,"b'RT @susan_wokoma: There I said it &amp; I honestly feel *lighter*. \n\nSO hoping to meet some rational, clever, NICE Brexiteers in the next 2 yea\xe2\x80\xa6'",
7/13/18 18:24,b'oh yes we have thunder in north london ? #itscominghome',
7/13/18 18:23,"b'RT @official_sadooo: Missing Person , Goes By The Name Of Harry Kane . Last Seen Warming Up In Moscow \n#CROvENG #ItsComingHome https://t.co\xe2\x80\xa6'",
7/13/18 18:23,"b""RT @tarntyke1bfc: It's 2026 48 teams have qualified. Scots are adding the Burma emoji to their Twitter cos that's England's next game. Scot\xe2\x80\xa6""",
7/13/18 18:22,b'The only thing coming home in England is the rain #ItsComingHome https://t.co/Cz4uC0wJFw',
7/13/18 18:22,"b'RT @Miss_Nasimiyu: @ENakhumicha @MercyWasike9 Well, in that case... #itsComingHome https://t.co/YapnD10bk4'",
7/13/18 18:22,b'RT @CoveBilly: This was the nuts!! \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb #ItsComingHome #WorldCup #England #RAF100 \xe2\x9a\xbd\xef\xb8\x8f https://t.co/0awPszZmtK',
7/13/18 18:21,"b'RT @Aviationdailyy: No, its not\n#itscominghome #WorldCup #WorldCup2018 https://t.co/8G1shmaI4P'",
7/13/18 18:20,"b""RT @GreenFlagUK: Those were the days, @IanWright0. We've got our fingers and 'tows' crossed for a win this Saturday. #ItsComingHome #Throwb\xe2\x80\xa6""",
7/13/18 18:19,b'RT @rustyrockets: Me and Bear. Prepping for semi. (Final)\n#ENG #EGCRO #ItsComingHome \n#ThreeLions https://t.co/zdn5mf37vj',
7/13/18 18:19,"b'RT @BipolarUK: Ahead of the game tonight, join our goal to support enough people with bipolar to fill Wembley. Text \xe2\x80\x98BIPOLAR\xe2\x80\x99 to 70007 to d\xe2\x80\xa6'",
7/13/18 18:19,"b'RT @EverestHome: #Competition In the spirit of the #WorldCup &amp; the #EnglandvCroatia match today, we are giving away 2 footballs signed by f\xe2\x80\xa6'",
7/13/18 18:18,b'RT @TheO2: Yes it is Justin. YES IT IS. #ITSCOMINGHOME #WorldCup #ThreeLions @jtimberlake @HKane @HarryMaguire93 @england https://t.co/PI12\xe2\x80\xa6'2018-07-18 19:11:57,"b""RT @Chubblab: Collective cell behaviour: it's coming home\n\nCredit @robinsall #WorldCup18 #meme #itscominghome #threelions #dictyostelium \n@\xe2\x80\xa6"""
7/18/18 18:15,b'Mad go think this time last week we were 1-0 up singing #Vindaloo and #ThreeLions #Itscominghome at the top of our\xe2\x80\xa6 https://t.co/ckn5bnI3xH',
